Ano,Região Geográfica,Unidade da Federação,Município,Total,Educacao Infantil,Ensino Fundamental,Ensino Médio,Educação Profissional,Educação de Jovens e Adultos (EJA),Federal,Estadual,Municipal,Privada,Urbana,Rural,Feminino,Masculino,Não Declarada,Branca,Preta,Parda,Amarela,Indígena,Até 3 anos,4 a 5 anos,6 a 10 anos,11 a 14 anos,15 a 17 anos,18 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 anos ou mais
2015, Sul  , Santa Catarina  , São Cristovão do Sul  ,1182,226,628,133,0,195,0,453,729,0,1182,0,519,663,621,426,2,131,1,1,99,116,328,290,158,22,31,41,35,28,34
2015, Sul  , Santa Catarina  , São Domingos  ,1971,452,1177,312,11,30,0,1256,715,0,1693,278,956,1015,488,1153,7,319,2,2,217,241,544,564,336,30,11,3,4,7,14
2015, Sul  , Santa Catarina  , São Francisco do Sul  ,11111,2452,6659,1631,190,315,129,4376,5457,1149,10046,1065,5406,5705,7038,3580,79,361,9,44,1204,1203,3481,2835,1739,286,145,60,55,38,65
2015, Sul  , Santa Catarina  , São João Batista  ,6034,1481,3643,684,16,210,0,1933,3848,253,5549,485,2994,3040,1342,4319,50,291,20,12,720,706,1854,1633,872,115,69,23,9,11,22
2015, Sul  , Santa Catarina  , São João do Itaperiú  ,845,166,548,131,0,0,0,468,377,0,468,377,400,445,619,214,2,10,0,0,58,102,275,236,151,14,6,2,1,0,0
2015, Sul  , Santa Catarina  , São João do Oeste  ,1007,239,585,183,0,0,0,490,517,0,698,309,491,516,313,668,1,25,0,0,116,116,287,269,197,15,6,1,0,0,0
2015, Sul  , Santa Catarina  , São João do Sul  ,1566,261,913,270,0,122,0,486,1080,0,1186,380,803,763,407,1110,19,28,2,0,118,135,452,424,286,53,29,10,9,6,44
2015, Sul  , Santa Catarina  , São Joaquim  ,5098,873,3368,667,22,190,0,2197,2167,734,4115,983,2405,2693,1631,2678,93,669,23,4,462,431,1719,1417,754,141,83,30,19,9,33
2015, Sul  , Santa Catarina  , São José  ,45995,7814,25625,8129,2146,3006,652,12833,18598,13912,45628,367,22084,23911,15805,24786,1685,3476,173,70,3572,4159,13141,11670,8679,1620,1135,637,529,349,504
2015, Sul  , Santa Catarina  , São José do Cedro  ,2768,678,1591,491,18,8,0,1397,1343,28,2077,691,1311,1457,1419,1230,18,98,1,2,357,307,787,716,512,62,20,5,1,1,0
2015, Sul  , Santa Catarina  , São José do Cerrito  ,1897,244,1181,440,182,32,0,1171,720,6,995,902,882,1015,678,996,12,205,5,1,105,148,548,551,464,56,10,7,0,3,5
2015, Sul  , Santa Catarina  , São Lourenço do Oeste  ,5319,1133,2916,808,303,348,0,1157,3868,294,4807,512,2574,2745,2831,2271,15,187,11,4,430,658,1527,1385,791,123,120,95,44,43,103
2015, Sul  , Santa Catarina  , São Ludgero  ,3278,767,1666,497,0,348,0,1301,1242,735,3202,76,1614,1664,1933,1244,19,81,0,1,415,340,895,745,519,73,84,65,43,42,57
2015, Sul  , Santa Catarina  , São Martinho  ,640,153,386,101,0,0,0,386,254,0,598,42,312,328,77,553,2,8,0,0,84,68,193,165,125,4,1,0,0,0,0
2015, Sul  , Santa Catarina  , São Miguel da Boa Vista  ,348,46,228,74,0,0,0,188,160,0,348,0,167,181,36,279,1,32,0,0,11,30,119,111,73,2,2,0,0,0,0
2015, Sul  , Santa Catarina  , São Miguel do Oeste  ,9389,2038,4354,1527,1223,599,402,3384,3496,2107,8732,657,4364,5025,3164,5482,81,625,28,9,1128,888,2271,1895,1943,381,325,161,98,94,205
2015, Sul  , Santa Catarina  , São Pedro de Alcântara  ,911,167,527,139,0,78,0,462,449,0,888,23,405,506,320,560,6,21,4,0,104,70,263,226,160,9,12,13,26,16,12
2015, Sul  , Santa Catarina  , Saudades  ,1836,438,992,391,42,15,0,988,848,0,1501,335,872,964,525,1206,5,97,3,0,247,192,506,477,375,22,11,1,1,3,1
2015, Sul  , Santa Catarina  , Schroeder  ,4306,973,2198,738,221,176,0,1729,2180,397,4251,55,2012,2294,1109,2846,24,312,13,2,447,494,1225,971,771,79,109,81,54,34,41
2015, Sul  , Santa Catarina  , Seara  ,3417,730,1773,579,30,321,0,1733,1383,301,2799,618,1699,1718,1243,2036,10,104,10,14,340,376,928,769,602,85,77,36,29,32,143
2015, Sul  , Santa Catarina  , Serra Alta  ,574,138,330,106,0,0,0,268,306,0,550,24,277,297,195,343,2,34,0,0,72,61,164,170,104,3,0,0,0,0,0
2015, Sul  , Santa Catarina  , Siderópolis  ,2535,561,1535,343,0,96,0,1068,1080,387,2178,357,1225,1310,1625,780,59,65,0,6,272,281,745,714,429,54,28,2,4,2,4
2015, Sul  , Santa Catarina  , Sombrio  ,7228,1886,3985,1197,249,160,206,2464,3457,1101,6542,686,3568,3660,2086,4966,63,99,13,1,1077,803,2121,1751,1122,160,81,25,25,23,40
2015, Sul  , Santa Catarina  , Sul Brasil  ,549,108,317,124,0,0,0,283,266,0,434,115,281,268,172,338,1,38,0,0,43,61,156,178,103,7,1,0,0,0,0
2015, Sul  , Santa Catarina  , Taió  ,4095,1028,2326,461,0,280,0,1626,1878,591,3343,752,2014,2081,575,3242,26,246,6,0,593,423,1171,1030,576,74,71,33,28,27,69
2015, Sul  , Santa Catarina  , Tangará  ,1638,333,988,273,0,44,0,776,862,0,1425,213,796,842,172,1253,6,203,3,1,149,184,478,438,315,34,14,10,7,2,7
2015, Sul  , Santa Catarina  , Tigrinhos  ,426,117,241,68,0,0,0,188,238,0,426,0,202,224,31,347,2,45,1,0,75,39,116,118,74,3,1,0,0,0,0
2015, Sul  , Santa Catarina  , Tijucas  ,8698,1689,4901,1268,367,473,0,2612,4194,1892,7801,897,4098,4600,2979,4908,194,543,68,6,796,904,2569,2262,1415,214,222,90,74,61,91
2015, Sul  , Santa Catarina  , Timbé do Sul  ,1116,218,671,227,0,0,0,514,597,5,946,170,547,569,208,823,26,58,0,1,96,100,338,280,204,28,24,8,8,12,18
2015, Sul  , Santa Catarina  , Timbó  ,8043,2059,4468,1123,227,184,0,3214,4262,567,7800,243,3854,4189,1480,6096,27,400,39,1,1081,912,2343,1954,1332,129,102,53,48,35,54
2015, Sul  , Santa Catarina  , Timbó Grande  ,1919,249,1273,387,0,10,0,595,1324,0,1643,276,978,941,1508,374,0,33,1,3,129,175,622,582,367,30,8,0,3,0,3
2015, Sul  , Santa Catarina  , Três Barras  ,4657,941,3017,610,52,89,0,1667,2864,126,4324,333,2392,2265,1378,3151,12,113,2,1,434,553,1478,1303,721,76,26,27,13,8,18
2015, Sul  , Santa Catarina  , Treviso  ,658,189,358,79,0,32,0,284,374,0,658,0,350,308,369,274,8,7,0,0,99,85,189,156,97,8,6,5,4,5,4
2015, Sul  , Santa Catarina  , Treze de Maio  ,1345,296,738,228,0,83,0,613,732,0,1235,110,649,696,52,1275,11,6,1,0,149,148,398,311,244,47,30,4,3,7,4
2015, Sul  , Santa Catarina  , Treze Tílias  ,1553,387,896,175,0,95,0,300,1253,0,1553,0,789,764,118,1249,3,181,2,0,194,176,485,389,202,27,10,9,9,10,42
2015, Sul  , Santa Catarina  , Trombudo Central  ,1528,393,843,221,0,71,0,578,950,0,1267,261,724,804,338,1117,1,72,0,0,194,182,443,376,248,36,19,7,11,4,8
2015, Sul  , Santa Catarina  , Tubarão  ,23327,4650,11771,3608,1693,1769,115,10349,5715,7148,21498,1829,11351,11976,7609,14271,727,704,11,5,2420,2177,6226,5140,4118,826,895,457,378,272,418
